truetime,L,R,B,D,C
0.5950000000,41.0081382366,141.0081382366,58.9918617634,0.0000000000,0.0000000000
0.6000000000,40.7791635211,140.7791635211,59.2208364789,0.0000000000,0.0000000000
0.6050000000,40.5524848135,140.5524848135,59.4475151865,0.0000000000,0.0000000000
0.6100000000,40.3280740039,140.3280740039,59.6719259961,0.0000000000,0.0000000000
0.6150000000,40.1059034164,140.1059034164,59.8940965836,0.0000000000,0.0000000000
0.6200000000,39.8859458007,139.8859458007,60.1140541993,0.0000000000,0.0000000000
0.6250000000,39.6681743241,139.6681743241,60.3318256759,0.0000000000,0.0000000000
0.6300000000,39.4525625631,139.4525625631,60.5474374369,0.0000000000,0.0000000000
0.6350000000,39.2390844964,139.2390844964,60.7609155036,0.0000000000,0.0000000000
0.6400000000,39.0277144965,139.0277144965,60.9722855035,0.0000000000,0.0000000000
0.6450000000,38.8184273228,138.8184273228,61.1815726772,0.0000000000,0.0000000000
0.6500000000,38.6111981142,138.6111981142,61.3888018858,0.0000000000,0.0000000000
0.6550000000,38.4060023819,138.4060023819,61.5939976181,0.0000000000,0.0000000000
0.6600000000,38.2028160029,138.2028160029,61.7971839971,0.0000000000,0.0000000000
0.6650000000,38.0016152125,138.0016152125,61.9983847875,0.0000000000,0.0000000000
0.6700000000,37.8023765984,137.8023765984,62.1976234016,0.0000000000,0.0000000000
0.6750000000,37.6050770937,137.6050770937,62.3949229063,0.0000000000,0.0000000000
0.6800000000,37.4096939710,137.4096939710,62.5903060290,0.0000000000,0.0000000000
0.6850000000,37.2162048359,137.2162048359,62.7837951641,0.0000000000,0.0000000000
0.6900000000,37.0245876209,137.0245876209,62.9754123791,0.0000000000,0.0000000000
0.6950000000,36.8348205798,136.8348205798,63.1651794202,0.0000000000,0.0000000000
0.7000000000,36.6468822816,136.6468822816,63.3531177184,0.0000000000,0.0000000000
0.7050000000,36.4607516049,136.4607516049,63.5392483951,0.0000000000,0.0000000000
0.7100000000,36.2764077326,136.2764077326,63.7235922674,0.0000000000,0.0000000000
0.7150000000,36.0938301461,136.0938301461,63.9061698539,0.0000000000,0.0000000000
0.7200000000,35.9129986201,135.9129986201,64.0870013799,0.0000000000,0.0000000000
