Generation, Wild-Type per Virus, H47R per Virus
140,8.4500000000,0.1300000000
141,9.1400000000,0.1800000000
142,9.5100000000,0.2100000000
143,10.6000000000,0.2900000000
144,11.5600000000,0.2700000000
145,11.7700000000,0.2700000000
146,11.7200000000,0.3300000000
147,12.4500000000,0.4500000000
148,13.0500000000,0.4100000000
149,13.6200000000,0.4800000000
150,14.1700000000,0.5500000000
151,14.2600000000,0.8400000000
152,14.4800000000,1.1900000000
153,14.0000000000,1.5100000000
154,13.4400000000,1.4900000000
155,13.8000000000,1.6200000000
156,13.4300000000,1.4700000000
157,12.5500000000,1.6600000000
158,12.7200000000,1.9300000000
159,12.5800000000,1.9300000000
160,11.9000000000,1.8600000000
161,10.9200000000,1.8000000000
162,10.6600000000,1.9300000000
163,9.9600000000,1.7600000000
164,8.3100000000,1.6600000000
165,8.3400000000,1.5900000000
166,8.4000000000,1.4400000000
167,6.9700000000,1.5400000000
168,6.4400000000,1.5600000000
169,5.8100000000,1.7600000000
170,5.1900000000,1.8300000000
171,4.4000000000,1.7900000000
172,4.0300000000,1.7400000000
173,4.0900000000,1.9500000000
174,3.8700000000,1.8600000000
175,3.7500000000,1.8700000000
176,3.0000000000,1.9200000000
177,3.4000000000,1.8300000000
178,3.3600000000,1.8600000000
179,3.0600000000,1.9300000000
180,2.9800000000,2.0300000000
181,2.3500000000,2.1000000000
182,2.7700000000,2.1400000000
183,2.8600000000,2.2600000000
184,2.3200000000,2.2500000000
185,2.4200000000,2.3600000000
186,2.1200000000,2.6600000000
187,1.9900000000,2.5900000000
188,2.0700000000,2.6900000000
189,1.7700000000,2.7500000000
190,1.8900000000,2.6900000000
191,1.4800000000,3.0800000000
192,1.6500000000,2.9800000000
193,1.2600000000,2.9100000000
194,1.1300000000,2.9700000000
195,0.9200000000,2.6100000000
196,0.8400000000,2.4100000000
197,0.7700000000,2.4400000000
198,0.6300000000,2.5900000000
199,0.3200000000,2.9200000000
200,0.4000000000,3.1500000000
201,0.1300000000,3.6400000000
202,0.0600000000,4.0300000000
203,0.0800000000,4.1500000000
204,0.1000000000,4.1200000000
205,0.1100000000,4.3300000000
206,0.1000000000,4.5200000000
207,0.1200000000,4.2700000000
208,0.1600000000,3.5500000000
209,0.2300000000,3.6200000000
210,0.2000000000,3.7400000000
211,0.2500000000,3.6200000000
212,0.2300000000,3.6700000000
213,0.2200000000,3.5500000000
214,0.1300000000,3.8100000000
215,0.1100000000,3.5100000000
216,0.1500000000,3.2700000000
217,0.1800000000,3.7700000000
218,0.3500000000,3.4200000000
219,0.2400000000,3.3800000000
220,0.1900000000,3.2900000000
221,0.0700000000,2.6700000000
222,0.0700000000,2.6900000000
223,0.0000000000,1.9500000000
224,0.0000000000,2.0800000000
225,0.0000000000,2.1200000000
226,0.0000000000,2.5400000000
227,0.0000000000,2.7000000000
228,0.0000000000,2.9900000000
229,0.0000000000,2.7600000000
230,0.0000000000,3.2100000000
231,0.0000000000,3.5200000000
232,0.0000000000,3.0700000000
233,0.0000000000,3.4200000000
234,0.0000000000,3.2000000000
235,0.0000000000,3.3600000000
236,0.0000000000,3.7200000000
237,0.0000000000,3.5400000000
238,0.0000000000,3.1800000000
239,0.0000000000,3.2900000000
240,0.0000000000,3.0100000000
241,0.0000000000,2.9000000000
242,0.0000000000,3.0600000000
243,0.0000000000,2.7300000000
244,0.0000000000,2.9200000000
245,0.0000000000,2.8600000000
246,0.0000000000,2.8000000000
247,0.0000000000,2.7700000000
248,0.0000000000,2.3100000000
249,0.0000000000,2.3300000000
