truetime,DMP:B,Gillespie:B
0.84,12.42672146,14
0.845,12.48044452,14
0.848522275,12.51815989,14
0.85,12.53398288,14
0.855,12.58733727,14
0.86,12.64050845,14
0.865,12.69349716,14
0.87,12.74630414,14
0.874406576,12.79268423,14
0.875,12.79893014,14
0.875404979,12.80317802,14
0.88,12.85137587,14
0.885,12.90364208,14
0.89,12.95572948,14
0.895,13.00763879,14
0.9,13.05937074,14
0.905,13.11092604,14
0.91,13.1623054,14
0.914404992,13.20741615,14
0.915,13.21350952,14
0.92,13.26453911,14
0.925,13.31539487,14
0.929031688,13.35626218,14
0.93,13.3660775,14.27104719
0.932604173,13.39238494,15
0.935,13.41658768,15.06904911
0.94,13.4669261,15.21315196
0.945,13.51709346,15.3572548
0.95,13.56709043,15.50135765
0.955,13.61691768,15.6454605
0.96,13.66657591,15.78956335
0.965,13.71606577,15.9336662
0.967301613,13.73876988,16
0.97,13.76538794,16.13469659
0.975,13.81454308,16.38428383
0.98,13.86353185,16.63387107
0.985,13.91235492,16.88345831
0.987334689,13.93507517,17
0.99,13.96101292,17
0.995,14.00950653,17
1,14.05783638,17
1.005,14.10600312,17
1.01,14.1540074,17
1.015,14.20184985,17
1.02,14.2495311,17
1.020201763,14.25144869,17
1.025,14.2970518,17
1.03,14.34441256,17
1.031640705,14.35990129,17
1.033258273,14.37517161,17
1.035,14.39161402,17.14502464
1.04,14.4386568,17.561349
1.045,14.48554151,17.97767337
1.04526814,14.4880474,18
1.05,14.53226879,18
1.055,14.57883923,18
1.06,14.62525345,18
1.065,14.67151206,18
1.07,14.71761567,18
1.072765349,14.74302878,18
1.075,14.76356487,18
1.076375167,14.77616013,18
1.08,14.80936026,18.35993075
1.085,14.85500245,18.85640979
1.086446085,14.86815881,19
1.09,14.90049202,19
1.095,14.94582956,19
1.098579433,14.97817769,19
1.1,14.99101567,19
1.105,15.03605092,19
1.105784265,15.04309127,19
1.106817139,15.05236337,19
1.11,15.0809359,19
1.115,15.12567119,19
1.12,15.17025736,19
1.125,15.21469499,19
1.13,15.25898465,19
1.135,15.3031269,19
1.137261759,15.3230283,19
1.14,15.34712231,19
1.145,15.39097145,19
1.145764612,15.39765468,19
1.15,15.43467487,19
1.155,15.47823313,19
1.16,15.52164678,19
1.165,15.56491638,19
1.17,15.60804247,19
1.175,15.65102561,19
1.18,15.69386633,19
1.185,15.73656518,19
1.19,15.77912269,19
1.195,15.82153941,19
1.2,15.86381586,19
1.202060578,15.88118106,19
1.205,15.90595258,19.38139509
1.209767604,15.94599809,20
1.21,15.94795009,20.03792538
1.215,15.98980893,20.85389125
1.215895312,15.99727953,21
1.22,16.03152961,21
1.224126273,16.06584621,21
1.225,16.07311266,21
1.23,16.11455859,21
1.235,16.15586792,21
1.24,16.19704117,21
1.244892704,16.2371982,21
1.245,16.23807884,21
1.25,16.27898145,21
1.253920841,16.31095046,21
1.255,16.31974951,21
1.256834137,16.33465517,21
1.26,16.36038351,21
1.265,16.40088395,21
1.27,16.44125135,21
1.273491475,16.46934714,21
1.275,16.48148619,21
1.277939611,16.5050635,21
1.28,16.52158897,21
1.285,16.56156019,21
1.29,16.60140033,21
1.295,16.64110988,21
1.3,16.68068933,21
1.305,16.72013916,21
1.30860344,16.74847711,21
1.31,16.75945986,21
1.315,16.7986519,21
1.32,16.83771575,21
1.321460408,16.84908828,21
1.325,16.8766519,21
1.33,16.91546082,21
1.335,16.95414297,21
1.34,16.99269883,21
1.345,17.03112887,21
1.35,17.06943353,21
1.352758287,17.09049568,21
1.355,17.1076133,21.03290177
1.36,17.14566862,21.10628708
1.365,17.18359996,21.17967239
1.37,17.22140777,21.2530577
1.375,17.25909251,21.32644301
1.38,17.29665462,21.39982832
1.385,17.33409456,21.47321364
1.39,17.37141277,21.54659895
1.395,17.4086097,21.61998426
1.4,17.44568579,21.69336957
1.405,17.48264148,21.76675488
1.41,17.51947722,21.84014019
1.415,17.55619344,21.9135255
1.42,17.59279058,21.98691081
1.420891812,17.59929697,22
1.425,17.62926906,22
1.43,17.66562933,22
1.435,17.70187181,22
1.44,17.73799693,22
1.445,17.77400511,22
1.45,17.80989678,22
1.455,17.84567236,22
1.458364406,17.86966725,22
1.46,17.88133228,22
1.465,17.91687694,22
1.47,17.95230677,22
1.475,17.98762218,22
1.48,18.02282358,22
1.485,18.05791139,22
1.49,18.09288601,22
1.495,18.12774785,22
1.5,18.16249732,22
1.505,18.19713482,22
1.51,18.23166075,22
1.515,18.26607552,22
1.52,18.30037952,22
1.520492626,18.30374845,22
1.525,18.33457314,22
1.53,18.36865679,22
1.535,18.40263085,22
1.536172362,18.41057123,22
1.54,18.43649572,22
1.545,18.47025179,22
1.55,18.50389945,22
1.555,18.53743907,22
1.56,18.57087106,22
1.565,18.60419578,22
1.57,18.63741363,22
1.575,18.67052498,22
1.58,18.70353021,22
1.585,18.73642969,22
1.59,18.76922381,22
1.590868131,18.7748995,22
1.595,18.80191293,21.36046728
1.597328893,18.81709009,21
1.6,18.83449742,21
1.604377316,18.86293268,21
1.605,18.86697767,21.03377703
1.61,18.89935402,21.30499836
1.615,18.93162686,21.57621968
1.62,18.96379655,21.84744101
1.622812445,18.98183382,22
1.625,18.99586344,22
1.626152422,19.00323076,22
1.63,19.02782791,22
1.635,19.05969032,22
1.638742168,19.08346109,22
1.64,19.09145101,22.046273
1.645,19.12311036,22.23021258
1.65,19.15466871,22.41415216
1.655,19.18612643,22.59809174
1.66,19.21748386,22.78203132
1.665,19.24874135,22.9659709
1.665925008,19.25450561,23
1.67,19.27989926,23
1.675,19.31095794,23
1.68,19.34191772,23
1.685,19.37277896,23
1.69,19.40354201,23
1.695,19.4342072,23
1.7,19.46477487,23
1.705,19.49524537,23
1.709687453,19.52372039,23
1.71,19.52561903,23
1.715,19.55589619,23
1.72,19.58607719,23
1.725,19.61616236,23
1.73,19.64615203,23
1.733766345,19.66867063,23
1.735,19.67604653,23.01719432
1.74,19.7058462,23.08688287
1.745,19.73555136,23.15657142
1.75,19.76516235,23.22625996
1.755,19.79467948,23.29594851
1.76,19.82410307,23.36563706
1.765,19.85343347,23.43532561
1.77,19.88267098,23.50501416
1.775,19.91181592,23.5747027
1.78,19.94086862,23.64439125
1.785,19.96982939,23.7140798
1.79,19.99869855,23.78376835
1.795,20.02747642,23.85345689
1.8,20.05616331,23.92314544
1.805,20.08475952,23.99283399
1.805514146,20.08769076,24
1.808655834,20.10560206,24
1.81,20.11326538,24.04962848
1.815,20.1416812,24.23423547
1.82,20.17000727,24.41884245
1.825,20.19824391,24.60344944
1.83,20.22639143,24.78805642
1.835,20.25445013,24.97266341
1.8357404,20.25859195,25
1.84,20.28242031,25
1.845,20.31030228,25
1.85,20.33809634,25
1.855,20.36580278,25
1.859695934,20.39174231,25
1.86,20.39342191,24.98392768
1.865,20.42095403,24.71963756
1.87,20.44839942,24.45534744
1.875,20.4757584,24.19105732
1.878614538,20.49547414,24
1.88,20.50303124,24
1.885,20.53021824,24
1.89,20.5573197,24
1.893354994,20.57544754,24
1.895,20.5843359,24
1.9,20.61126714,24
1.904019975,20.63285163,24
1.904508853,20.63547658,24
1.905,20.6381137,24
1.91,20.66487586,24
1.915,20.69155392,24
1.91746415,20.70466036,24
1.92,20.71814817,24
1.925,20.74465887,24
